student_course_year_semester_week_intervention,student_course_year_semester_week,student_id,reason_id,intervention_id,intervention_current_status,intervention_assignee,week_date_beginning,date_closed,intervention_age,current_week
10086_976960_2016_S1C_06_I32,10086_976960_2016_S1C_06,10086,R25,I32,Closed,naomi ochoa,"Monday, 4 April 2016","Wednesday, 13 April 2016",9,X
10086_976960_2016_S1C_06_I40,10086_976960_2016_S1C_06,10086,R25,I40,Closed,audrina meyers,"Monday, 4 April 2016","Monday, 9 May 2016",35,X
10109_618591_2016_S1C_05_I39,10109_618591_2016_S1C_05,10109,R22,I39,Closed,elyse reyes,"Monday, 28 March 2016","Friday, 1 April 2016",4,
10109_867199_2016_S1C_05_I30,10109_867199_2016_S1C_05,10109,R25,I30,Closed,miguel joseph,"Monday, 28 March 2016","Sunday, 1 May 2016",34,
10109_867199_2016_S1C_05_I31,10109_867199_2016_S1C_05,10109,R25,I31,Closed,amiya richmond,"Monday, 28 March 2016","Friday, 8 April 2016",11,
10109_867199_2016_S1C_05_I32,10109_867199_2016_S1C_05,10109,R25,I32,Open,demarcus klein,"Monday, 28 March 2016",,7,
10109_867199_2016_S1C_05_I33,10109_867199_2016_S1C_05,10109,R25,I33,Closed,frankie malone,"Monday, 28 March 2016","Sunday, 17 April 2016",20,
10109_867199_2016_S1C_05_I40,10109_867199_2016_S1C_05,10109,R25,I40,Open,thalia mckee,"Monday, 28 March 2016",,7,
10116_12016_2016_S1C_01_I30,10116_12016_2016_S1C_01,10116,R25,I30,Closed,amiya richmond,"Monday, 29 February 2016","Tuesday, 29 March 2016",29,
10116_12016_2016_S1C_01_I31,10116_12016_2016_S1C_01,10116,R25,I31,Closed,siena cochran,"Monday, 29 February 2016","Wednesday, 9 March 2016",9,
10116_12016_2016_S1C_01_I32,10116_12016_2016_S1C_01,10116,R25,I32,Closed,jayden sears,"Monday, 29 February 2016","Thursday, 10 March 2016",10,
10116_12016_2016_S1C_01_I33,10116_12016_2016_S1C_01,10116,R25,I33,Closed,jalen david,"Monday, 29 February 2016","Sunday, 3 April 2016",34,
10116_12016_2016_S1C_01_I40,10116_12016_2016_S1C_01,10116,R25,I40,Closed,memphis blake,"Monday, 29 February 2016","Friday, 4 March 2016",4,
10120_12684_2016_S1C_01_I39,10120_12684_2016_S1C_01,10120,R22,I39,Closed,joe flynn,"Monday, 29 February 2016","Thursday, 3 March 2016",3,
10120_533187_2016_S1C_01_I33,10120_533187_2016_S1C_01,10120,R01,I33,Closed,anahi simpson,"Monday, 29 February 2016","Sunday, 6 March 2016",6,
10127_1449042_2016_S1C_01_I33,10127_1449042_2016_S1C_01,10127,R01,I33,Closed,kaden talley,"Monday, 29 February 2016","Wednesday, 30 March 2016",30,
10143_12684_2016_S1C_01_I33,10143_12684_2016_S1C_01,10143,R36,I33,Closed,kaden talley,"Monday, 29 February 2016","Monday, 7 March 2016",7,
10148_1455783_2016_S1C_01_I33,10148_1455783_2016_S1C_01,10148,R36,I33,Open,amiyah franks,"Monday, 29 February 2016",,35,
10148_1455783_2016_S1C_01_I39,10148_1455783_2016_S1C_01,10148,R22,I39,Closed,ayanna christensen,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
10160_1312726_2016_S1C_01_I30,10160_1312726_2016_S1C_01,10160,R09,I30,Closed,dustin christian,"Monday, 29 February 2016","Saturday, 12 March 2016",12,
10160_1312726_2016_S1C_01_I31,10160_1312726_2016_S1C_01,10160,R09,I31,Closed,audrina meyers,"Monday, 29 February 2016","Saturday, 5 March 2016",5,
10160_1312726_2016_S1C_01_I32,10160_1312726_2016_S1C_01,10160,R09,I32,Open,hallie matthews,"Monday, 29 February 2016",,35,
10160_1312726_2016_S1C_01_I33,10160_1312726_2016_S1C_01,10160,R31,I33,Closed,kaden talley,"Monday, 29 February 2016","Tuesday, 8 March 2016",8,
10160_1312726_2016_S1C_01_I40,10160_1312726_2016_S1C_01,10160,R09,I40,Closed,miguel joseph,"Monday, 29 February 2016","Monday, 21 March 2016",21,
10169_774378_2016_S1C_06_I30,10169_774378_2016_S1C_06,10169,R25,I30,Closed,amaya reynolds,"Monday, 4 April 2016","Monday, 18 April 2016",14,X
10169_774378_2016_S1C_06_I31,10169_774378_2016_S1C_06,10169,R25,I31,Closed,brennen payne,"Monday, 4 April 2016","Thursday, 12 May 2016",38,X
10169_774378_2016_S1C_06_I32,10169_774378_2016_S1C_06,10169,R25,I32,Closed,dustin christian,"Monday, 4 April 2016","Sunday, 10 April 2016",6,X
10169_774378_2016_S1C_06_I33,10169_774378_2016_S1C_06,10169,R25,I33,Closed,siena cochran,"Monday, 4 April 2016","Wednesday, 11 May 2016",37,X
10169_774378_2016_S1C_06_I40,10169_774378_2016_S1C_06,10169,R25,I40,Closed,dustin christian,"Monday, 4 April 2016","Friday, 22 April 2016",18,X
10182_297135_2016_S1C_01_I33,10182_297135_2016_S1C_01,10182,R36,I33,Closed,rivka tucker,"Monday, 29 February 2016","Thursday, 24 March 2016",24,
10182_371564_2016_S1C_01_I30,10182_371564_2016_S1C_01,10182,R09,I30,Closed,wendy mathews,"Monday, 29 February 2016","Saturday, 2 April 2016",33,
10182_371564_2016_S1C_01_I31,10182_371564_2016_S1C_01,10182,R09,I31,Closed,arianna emerson,"Monday, 29 February 2016","Sunday, 3 April 2016",34,
10182_371564_2016_S1C_01_I32,10182_371564_2016_S1C_01,10182,R09,I32,Closed,anastasia crawford,"Monday, 29 February 2016","Tuesday, 8 March 2016",8,
10182_371564_2016_S1C_01_I40,10182_371564_2016_S1C_01,10182,R09,I40,Closed,arianna emerson,"Monday, 29 February 2016","Wednesday, 6 April 2016",37,
1020_831665_2016_S1C_01_I30,1020_831665_2016_S1C_01,1020,R09,I30,Closed,zoe duran,"Monday, 29 February 2016","Sunday, 20 March 2016",20,
1020_831665_2016_S1C_01_I32,1020_831665_2016_S1C_01,1020,R09,I32,Open,braydon mcintosh,"Monday, 29 February 2016",,35,
1020_831665_2016_S1C_01_I33,1020_831665_2016_S1C_01,1020,R36,I33,Closed,audrina meyers,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
1020_831665_2016_S1C_01_I40,1020_831665_2016_S1C_01,1020,R09,I40,Closed,bennett herring,"Monday, 29 February 2016","Sunday, 13 March 2016",13,
1020_97518_2016_S1C_01_I31,1020_97518_2016_S1C_01,1020,R09,I31,Closed,arianna emerson,"Monday, 29 February 2016","Friday, 1 April 2016",32,
10212_1221508_2016_S1C_01_I33,10212_1221508_2016_S1C_01,10212,R36,I33,Closed,audrina meyers,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
10212_1265972_2016_S1C_01_I31,10212_1265972_2016_S1C_01,10212,R09,I31,Closed,zoey yates,"Monday, 29 February 2016","Friday, 8 April 2016",39,
10212_1265972_2016_S1C_01_I32,10212_1265972_2016_S1C_01,10212,R09,I32,Closed,amiya richmond,"Monday, 29 February 2016","Friday, 18 March 2016",18,
10212_1265972_2016_S1C_01_I40,10212_1265972_2016_S1C_01,10212,R09,I40,Open,anahi simpson,"Monday, 29 February 2016",,35,
10212_97518_2016_S1C_01_I30,10212_97518_2016_S1C_01,10212,R09,I30,Closed,annabella golden,"Monday, 29 February 2016","Thursday, 31 March 2016",31,
10223_1075329_2016_S1C_01_I30,10223_1075329_2016_S1C_01,10223,R09,I30,Closed,tony reynolds,"Monday, 29 February 2016","Sunday, 6 March 2016",6,
10223_1075329_2016_S1C_01_I31,10223_1075329_2016_S1C_01,10223,R09,I31,Closed,dustin christian,"Monday, 29 February 2016","Sunday, 6 March 2016",6,
10223_1075329_2016_S1C_01_I32,10223_1075329_2016_S1C_01,10223,R09,I32,Open,zoe duran,"Monday, 29 February 2016",,35,
10223_1075329_2016_S1C_01_I33,10223_1075329_2016_S1C_01,10223,R36,I33,Closed,keyla randolph,"Monday, 29 February 2016","Saturday, 5 March 2016",5,
10223_1075329_2016_S1C_01_I40,10223_1075329_2016_S1C_01,10223,R09,I40,Open,keyla randolph,"Monday, 29 February 2016",,35,
10243_925200_2016_S1C_01_I33,10243_925200_2016_S1C_01,10243,R27,I33,Closed,arianna emerson,"Monday, 29 February 2016","Monday, 29 February 2016",0,
10260_781100_2016_S1C_01_I33,10260_781100_2016_S1C_01,10260,R36,I33,Closed,skyla ballard,"Monday, 29 February 2016","Friday, 18 March 2016",18,
10271_1079353_2016_S1C_01_I30,10271_1079353_2016_S1C_01,10271,R09,I30,Open,wendy mathews,"Monday, 29 February 2016",,35,
10271_1079353_2016_S1C_01_I31,10271_1079353_2016_S1C_01,10271,R09,I31,Closed,demarcus klein,"Monday, 29 February 2016","Tuesday, 15 March 2016",15,
10271_1079353_2016_S1C_01_I32,10271_1079353_2016_S1C_01,10271,R09,I32,Closed,ronan cooper,"Monday, 29 February 2016","Wednesday, 16 March 2016",16,
10271_1079353_2016_S1C_01_I40,10271_1079353_2016_S1C_01,10271,R09,I40,Closed,jalen david,"Monday, 29 February 2016","Sunday, 27 March 2016",27,
10271_379921_2016_S1C_01_I33,10271_379921_2016_S1C_01,10271,R36,I33,Closed,damaris myers,"Monday, 29 February 2016","Tuesday, 15 March 2016",15,
10286_321068_2016_S1C_01_I33,10286_321068_2016_S1C_01,10286,R36,I33,Closed,walter silva,"Monday, 29 February 2016","Sunday, 27 March 2016",27,
10286_324025_2016_S1C_01_I39,10286_324025_2016_S1C_01,10286,R22,I39,Closed,audrina meyers,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
1030_371564_2016_S1C_01_I33,1030_371564_2016_S1C_01,1030,R36,I33,Closed,brennen payne,"Monday, 29 February 2016","Monday, 14 March 2016",14,
1030_371564_2016_S1C_02_I30,1030_371564_2016_S1C_02,1030,R25,I30,Closed,amaya reynolds,"Monday, 7 March 2016","Monday, 11 April 2016",35,
1030_371564_2016_S1C_02_I31,1030_371564_2016_S1C_02,1030,R25,I31,Closed,anastasia crawford,"Monday, 7 March 2016","Saturday, 12 March 2016",5,
1030_371564_2016_S1C_02_I32,1030_371564_2016_S1C_02,1030,R25,I32,Open,frankie malone,"Monday, 7 March 2016",,28,
1030_371564_2016_S1C_02_I40,1030_371564_2016_S1C_02,1030,R25,I40,Closed,marc lopez,"Monday, 7 March 2016","Tuesday, 12 April 2016",36,
10307_1198433_2016_S1C_02_I30,10307_1198433_2016_S1C_02,10307,R09,I30,Closed,eli flynn,"Monday, 7 March 2016","Friday, 25 March 2016",18,
10307_1198433_2016_S1C_02_I31,10307_1198433_2016_S1C_02,10307,R09,I31,Closed,miguel joseph,"Monday, 7 March 2016","Monday, 7 March 2016",0,
10307_1198433_2016_S1C_02_I32,10307_1198433_2016_S1C_02,10307,R09,I32,Open,ayanna christensen,"Monday, 7 March 2016",,28,
10307_1198433_2016_S1C_02_I33,10307_1198433_2016_S1C_02,10307,R01,I33,Closed,soren shaffer,"Monday, 7 March 2016","Saturday, 26 March 2016",19,
10307_1198433_2016_S1C_02_I40,10307_1198433_2016_S1C_02,10307,R09,I40,Closed,august bates,"Monday, 7 March 2016","Monday, 4 April 2016",28,
10324_1496354_2016_S1C_01_I33,10324_1496354_2016_S1C_01,10324,R01,I33,Closed,braydon mcintosh,"Monday, 29 February 2016","Monday, 7 March 2016",7,
10328_537696_2016_S1C_01_I33,10328_537696_2016_S1C_01,10328,R01,I33,Closed,annabella golden,"Monday, 29 February 2016","Tuesday, 22 March 2016",22,
10328_537696_2016_S1C_01_I39,10328_537696_2016_S1C_01,10328,R22,I39,Closed,kaden talley,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
10332_1312726_2016_S1C_01_I33,10332_1312726_2016_S1C_01,10332,R36,I33,Closed,braydon mcintosh,"Monday, 29 February 2016","Tuesday, 29 March 2016",29,
10340_1071111_2016_S1C_01_I33,10340_1071111_2016_S1C_01,10340,R36,I33,Closed,jasmine fischer,"Monday, 29 February 2016","Wednesday, 9 March 2016",9,
10340_1075329_2016_S1C_01_I30,10340_1075329_2016_S1C_01,10340,R09,I30,Closed,joe flynn,"Monday, 29 February 2016","Wednesday, 9 March 2016",9,
10340_1075329_2016_S1C_01_I31,10340_1075329_2016_S1C_01,10340,R09,I31,Open,naomi ochoa,"Monday, 29 February 2016",,35,
10340_1075329_2016_S1C_01_I32,10340_1075329_2016_S1C_01,10340,R09,I32,Closed,amiyah franks,"Monday, 29 February 2016","Friday, 8 April 2016",39,
10340_1075329_2016_S1C_01_I40,10340_1075329_2016_S1C_01,10340,R09,I40,Closed,august bates,"Monday, 29 February 2016","Monday, 21 March 2016",21,
10344_254942_2016_S1C_01_I33,10344_254942_2016_S1C_01,10344,R01,I33,Closed,anastasia crawford,"Monday, 29 February 2016","Saturday, 19 March 2016",19,
10344_254942_2016_S1C_01_I39,10344_254942_2016_S1C_01,10344,R22,I39,Closed,keyla randolph,"Monday, 29 February 2016","Tuesday, 15 March 2016",15,
10345_1075329_2016_S1C_01_I33,10345_1075329_2016_S1C_01,10345,R36,I33,Closed,valeria ayers,"Monday, 29 February 2016","Friday, 11 March 2016",11,
10345_1075329_2016_S1C_01_I39,10345_1075329_2016_S1C_01,10345,R22,I39,Closed,demarcus klein,"Monday, 29 February 2016","Saturday, 12 March 2016",12,
10345_1275941_2016_S1C_01_I30,10345_1275941_2016_S1C_01,10345,R09,I30,Closed,wendy mathews,"Monday, 29 February 2016","Sunday, 6 March 2016",6,
10345_1275941_2016_S1C_01_I31,10345_1275941_2016_S1C_01,10345,R09,I31,Closed,zoe duran,"Monday, 29 February 2016","Tuesday, 8 March 2016",8,
10345_1275941_2016_S1C_01_I32,10345_1275941_2016_S1C_01,10345,R09,I32,Closed,ronan cooper,"Monday, 29 February 2016","Saturday, 26 March 2016",26,
10345_1275941_2016_S1C_01_I40,10345_1275941_2016_S1C_01,10345,R09,I40,Open,ayanna christensen,"Monday, 29 February 2016",,35,
10349_537696_2016_S1C_01_I33,10349_537696_2016_S1C_01,10349,R36,I33,Closed,ronan cooper,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
10349_537696_2016_S1C_01_I39,10349_537696_2016_S1C_01,10349,R22,I39,Closed,anahi simpson,"Monday, 29 February 2016","Thursday, 24 March 2016",24,
10358_1304917_2016_S1C_01_I33,10358_1304917_2016_S1C_01,10358,R36,I33,Closed,memphis blake,"Monday, 29 February 2016","Friday, 25 March 2016",25,
10358_1304917_2016_S1C_01_I39,10358_1304917_2016_S1C_01,10358,R22,I39,Open,wendy mathews,"Monday, 29 February 2016",,35,
10361_1079286_2016_S1C_01_I40,10361_1079286_2016_S1C_01,10361,R09,I40,Closed,tony reynolds,"Monday, 29 February 2016","Tuesday, 5 April 2016",36,
10361_379065_2016_S1C_01_I30,10361_379065_2016_S1C_01,10361,R09,I30,Open,sabrina dawson,"Monday, 29 February 2016",,35,
10361_379065_2016_S1C_01_I31,10361_379065_2016_S1C_01,10361,R09,I31,Open,miguel joseph,"Monday, 29 February 2016",,35,
10361_379065_2016_S1C_01_I32,10361_379065_2016_S1C_01,10361,R09,I32,Closed,amaya reynolds,"Monday, 29 February 2016","Friday, 25 March 2016",25,
10361_379065_2016_S1C_01_I33,10361_379065_2016_S1C_01,10361,R36,I33,Closed,siena cochran,"Monday, 29 February 2016","Monday, 21 March 2016",21,
10363_1379979_2016_S1C_03_I33,10363_1379979_2016_S1C_03,10363,R36,I33,Closed,ronan cooper,"Monday, 14 March 2016","Wednesday, 30 March 2016",16,
10363_1379979_2016_S1C_03_I39,10363_1379979_2016_S1C_03,10363,R22,I39,Closed,arianna emerson,"Monday, 14 March 2016","Wednesday, 20 April 2016",37,
10369_1446723_2016_S1C_01_I33,10369_1446723_2016_S1C_01,10369,R36,I33,Open,elyse reyes,"Monday, 29 February 2016",,35,
10369_1446723_2016_S1C_01_I39,10369_1446723_2016_S1C_01,10369,R22,I39,Closed,keyla randolph,"Monday, 29 February 2016","Wednesday, 9 March 2016",9,
10377_507639_2016_S1C_01_I33,10377_507639_2016_S1C_01,10377,R36,I33,Closed,hallie matthews,"Monday, 29 February 2016","Sunday, 27 March 2016",27,
10377_507639_2016_S1C_03_I30,10377_507639_2016_S1C_03,10377,R25,I30,Closed,jasmine fischer,"Monday, 14 March 2016","Wednesday, 13 April 2016",30,
10377_507639_2016_S1C_03_I31,10377_507639_2016_S1C_03,10377,R25,I31,Closed,amiyah franks,"Monday, 14 March 2016","Thursday, 14 April 2016",31,
10377_507639_2016_S1C_03_I32,10377_507639_2016_S1C_03,10377,R25,I32,Closed,tony reynolds,"Monday, 14 March 2016","Sunday, 10 April 2016",27,
10377_507639_2016_S1C_03_I40,10377_507639_2016_S1C_03,10377,R25,I40,Closed,eli flynn,"Monday, 14 March 2016","Monday, 4 April 2016",21,
10394_297135_2016_S1C_01_I30,10394_297135_2016_S1C_01,10394,R09,I30,Closed,memphis blake,"Monday, 29 February 2016","Friday, 25 March 2016",25,
10394_297135_2016_S1C_01_I31,10394_297135_2016_S1C_01,10394,R09,I31,Closed,anastasia crawford,"Monday, 29 February 2016","Tuesday, 29 March 2016",29,
10394_297135_2016_S1C_01_I32,10394_297135_2016_S1C_01,10394,R09,I32,Closed,nathaly howe,"Monday, 29 February 2016","Tuesday, 15 March 2016",15,
10394_297135_2016_S1C_01_I33,10394_297135_2016_S1C_01,10394,R36,I33,Closed,jasmine fischer,"Monday, 29 February 2016","Wednesday, 6 April 2016",37,
10394_297135_2016_S1C_01_I40,10394_297135_2016_S1C_01,10394,R09,I40,Closed,valeria ayers,"Monday, 29 February 2016","Friday, 1 April 2016",32,
10395_1054985_2016_S1C_01_I33,10395_1054985_2016_S1C_01,10395,R36,I33,Closed,rivka tucker,"Monday, 29 February 2016","Friday, 4 March 2016",4,
10395_1054985_2016_S1C_01_I39,10395_1054985_2016_S1C_01,10395,R22,I39,Closed,memphis blake,"Monday, 29 February 2016","Friday, 11 March 2016",11,
10402_1071111_2016_S1C_01_I39,10402_1071111_2016_S1C_01,10402,R22,I39,Closed,hallie matthews,"Monday, 29 February 2016","Monday, 21 March 2016",21,
10402_379921_2016_S1C_01_I33,10402_379921_2016_S1C_01,10402,R36,I33,Open,tony reynolds,"Monday, 29 February 2016",,35,
10410_1054650_2016_S1C_01_I33,10410_1054650_2016_S1C_01,10410,R01,I33,Closed,august bates,"Monday, 29 February 2016","Wednesday, 16 March 2016",16,
10410_1054650_2016_S1C_01_I39,10410_1054650_2016_S1C_01,10410,R22,I39,Open,natalie dale,"Monday, 29 February 2016",,35,
10413_312853_2016_S1C_01_I33,10413_312853_2016_S1C_01,10413,R01,I33,Closed,demarcus klein,"Monday, 29 February 2016","Friday, 4 March 2016",4,
10415_537780_2016_S1C_01_I33,10415_537780_2016_S1C_01,10415,R01,I33,Closed,anastasia crawford,"Monday, 29 February 2016","Thursday, 10 March 2016",10,
10420_1079286_2016_S1C_01_I30,10420_1079286_2016_S1C_01,10420,R09,I30,Closed,elyse reyes,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
10420_1079286_2016_S1C_01_I31,10420_1079286_2016_S1C_01,10420,R09,I31,Closed,scott bass,"Monday, 29 February 2016","Saturday, 2 April 2016",33,
10420_1079286_2016_S1C_01_I32,10420_1079286_2016_S1C_01,10420,R09,I32,Open,anastasia crawford,"Monday, 29 February 2016",,35,
10420_1079286_2016_S1C_01_I33,10420_1079286_2016_S1C_01,10420,R01,I33,Closed,elyse reyes,"Monday, 29 February 2016","Tuesday, 22 March 2016",22,
10420_1079286_2016_S1C_01_I40,10420_1079286_2016_S1C_01,10420,R09,I40,Closed,damaris myers,"Monday, 29 February 2016","Tuesday, 5 April 2016",36,
10421_443432_2016_S1C_01_I33,10421_443432_2016_S1C_01,10421,R01,I33,Closed,sabrina dawson,"Monday, 29 February 2016","Saturday, 5 March 2016",5,
10421_443432_2016_S1C_01_I39,10421_443432_2016_S1C_01,10421,R22,I39,Closed,naomi ochoa,"Monday, 29 February 2016","Tuesday, 29 March 2016",29,
10438_1072411_2016_S1C_01_I30,10438_1072411_2016_S1C_01,10438,R09,I30,Closed,ronan cooper,"Monday, 29 February 2016","Tuesday, 15 March 2016",15,
10438_1072411_2016_S1C_01_I31,10438_1072411_2016_S1C_01,10438,R09,I31,Closed,annabella golden,"Monday, 29 February 2016","Sunday, 27 March 2016",27,
10438_1072411_2016_S1C_01_I32,10438_1072411_2016_S1C_01,10438,R09,I32,Closed,natalie dale,"Monday, 29 February 2016","Monday, 14 March 2016",14,
10438_1072411_2016_S1C_01_I33,10438_1072411_2016_S1C_01,10438,R36,I33,Closed,anahi simpson,"Monday, 29 February 2016","Wednesday, 6 April 2016",37,
10438_1072411_2016_S1C_01_I40,10438_1072411_2016_S1C_01,10438,R09,I40,Closed,soren shaffer,"Monday, 29 February 2016","Monday, 21 March 2016",21,
1044_1312726_2016_S1C_01_I30,1044_1312726_2016_S1C_01,1044,R09,I30,Closed,frankie malone,"Monday, 29 February 2016","Friday, 1 April 2016",32,
1044_1312726_2016_S1C_01_I31,1044_1312726_2016_S1C_01,1044,R09,I31,Open,rivka tucker,"Monday, 29 February 2016",,35,
1044_1312726_2016_S1C_01_I32,1044_1312726_2016_S1C_01,1044,R09,I32,Open,ronan cooper,"Monday, 29 February 2016",,35,
1044_1312726_2016_S1C_01_I33,1044_1312726_2016_S1C_01,1044,R36,I33,Closed,thalia mckee,"Monday, 29 February 2016","Sunday, 27 March 2016",27,
1044_1312726_2016_S1C_01_I40,1044_1312726_2016_S1C_01,1044,R09,I40,Closed,joe flynn,"Monday, 29 February 2016","Tuesday, 5 April 2016",36,
10441_1077856_2016_S1C_01_I31,10441_1077856_2016_S1C_01,10441,R09,I31,Closed,sabrina dawson,"Monday, 29 February 2016","Sunday, 3 April 2016",34,
10441_1077856_2016_S1C_01_I32,10441_1077856_2016_S1C_01,10441,R09,I32,Closed,ayanna christensen,"Monday, 29 February 2016","Sunday, 3 April 2016",34,
10441_1077856_2016_S1C_01_I33,10441_1077856_2016_S1C_01,10441,R01,I33,Closed,jasmine fischer,"Monday, 29 February 2016","Monday, 7 March 2016",7,
10441_295143_2016_S1C_01_I30,10441_295143_2016_S1C_01,10441,R09,I30,Closed,damaris myers,"Monday, 29 February 2016","Tuesday, 5 April 2016",36,
10441_295143_2016_S1C_01_I40,10441_295143_2016_S1C_01,10441,R09,I40,Closed,amaya reynolds,"Monday, 29 February 2016","Saturday, 26 March 2016",26,
10444_1261651_2016_S1C_01_I33,10444_1261651_2016_S1C_01,10444,R01,I33,Closed,tony reynolds,"Monday, 29 February 2016","Wednesday, 30 March 2016",30,
10444_1261651_2016_S1C_01_I39,10444_1261651_2016_S1C_01,10444,R22,I39,Closed,natalie dale,"Monday, 29 February 2016","Friday, 1 April 2016",32,
10453_12684_2016_S1C_01_I33,10453_12684_2016_S1C_01,10453,R36,I33,Closed,ayanna christensen,"Monday, 29 February 2016","Monday, 4 April 2016",35,
10470_312546_2016_S1C_01_I30,10470_312546_2016_S1C_01,10470,R09,I30,Closed,jalen david,"Monday, 29 February 2016","Wednesday, 9 March 2016",9,
10470_312546_2016_S1C_01_I31,10470_312546_2016_S1C_01,10470,R09,I31,Closed,demarcus klein,"Monday, 29 February 2016","Sunday, 20 March 2016",20,
